id,date
13870248,2014-06-07
244955899,2018-03-20
247684491,2018-03-29
250155715,2018-04-04
253032992,2018-04-13
255722613,2018-04-21
259042649,2018-04-30
262506327,2018-05-09
267639056,2018-05-22
271030775,2018-05-31
274860302,2018-06-10
278006730,2018-06-17
14110157,2014-06-12
14260986,2014-06-16
14852206,2014-06-28
15128115,2014-07-03
15531704,2014-07-11
16071250,2014-07-22
16665694,2014-07-31
16817974,2014-08-03
17566792,2014-08-14
17741306,2014-08-17
18225539,2014-08-24
18515677,2014-08-28
18978235,2014-09-04
19168853,2014-09-07
19455058,2014-09-13
19919104,2014-09-21
20150129,2014-09-24
851027,2012-01-09
286440978,2018-07-06
2359368,2012-09-21
302740347,2018-08-06
20331043,2014-09-28
20548370,2014-10-01
20736252,2014-10-05
307933167,2018-08-15
3564846,2013-02-17
7509410,2013-09-23
18429729,2014-08-26
315558876,2018-08-29
21191133,2014-10-13
21383984,2014-10-16
21820410,2014-10-25
22293867,2014-11-03
22644210,2014-11-11
22824188,2014-11-16
23007896,2014-11-20
23095364,2014-11-23
23320397,2014-11-29
23544147,2014-12-04
23623034,2014-12-07
24033472,2014-12-17
331620547,2018-10-03
333391418,2018-10-07
339835877,2018-10-22
343935500,2018-11-02
363211369,2018-12-28
24105359,2014-12-20
24220507,2014-12-23
26845784,2015-02-20
27125334,2015-02-26
27255517,2015-03-01
27715712,2015-03-10
29093620,2015-04-04
30440087,2015-04-22
30569863,2015-04-24
31522819,2015-05-06
32448733,2015-05-18
21170224,2014-10-12
21700505,2014-10-22
411988644,2019-02-14
29052619,2015-04-03
37983129,2015-07-12
44043341,2015-08-23
51315747,2015-10-19
54089799,2015-11-16
55187953,2015-11-29
55618833,2015-12-03
56379322,2015-12-13
61930468,2016-02-09
62743088,2016-02-16
63172535,2016-02-21
63552712,2016-02-24
63882257,2016-02-28
64360138,2016-03-03
32698770,2015-05-20
34137815,2015-06-05
420613395,2019-03-07
422859926,2019-03-12
34399115,2015-06-08
35372811,2015-06-18
36080236,2015-06-25
